변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
시흥,태양,9417A972,서학간,135,37.41608635,126.8591718,광명시 가학동 269-4 W,,3구역
시흥,태양,9417B071,서학간,136,37.41602888,126.8595923,광명시 가학동 269-5 W,,3구역
시흥,태양,9417B081,서학간,136L1,37.41622911,126.8597514,광명시 가학동 221-4 W,,3구역
시흥,태양,9417B491,서학간,136L10,37.41682424,126.8620226,광명시 가학동 206-1 W,,3구역
시흥,태양,9417B481,서학간,136L11,37.41647987,126.8621058,광명시 가학동 199-6 W,,3구역
시흥,태양,9417B483,서학간,136L12,37.41628663,126.8621809,광명시 가학동 234 F,,3구역
시흥,태양,9417B482,서학간,136L12R1,37.41616270,126.8618622,광명시 가학동 199-5 F,,3구역
시흥,태양,9417B581,서학간,136L13,37.41651088,126.8624987,광명시 가학동 199 F,,3구역
시흥,태양,9417B591,서학간,136L14,37.41672468,126.8627151,광명시 가학동 236 R,,3구역
시흥,태양,9417B694,서학간,136L15,37.41692055,126.8630171,광명시 가학동 1107 W,,3구역
